Timestamp(ms),Current(uA),D0-D7
1206.61,279.374,00000000
1206.62,277.160,00000000
1206.63,277.160,00000000
1206.64,276.275,00000000
1206.65,277.603,00000000
1206.66,277.603,00000000
1206.67,278.488,00000000
1206.68,277.160,00000000
1206.69,277.160,00000000
1206.7,277.160,00000000
1206.71,278.488,00000000
1206.72,275.390,00000000
1206.73,278.045,00000000
1206.74,277.160,00000000
1206.75,279.374,00000000
1206.76,278.488,00000000
1206.77,277.160,00000000
1206.78,276.275,00000000
1206.79,273.620,00000000
1206.8,274.063,00000000
1206.81,271.851,00000000
1206.82,272.736,00000000
1206.83,274.063,00000000
1206.84,273.178,00000000
1206.85,272.293,00000000
1206.86,273.620,00000000
1206.87,274.063,00000000
1206.88,272.736,00000000
1206.89,274.063,00000000
1206.9,272.293,00000000
1206.91,270.967,00000000
1206.92,272.736,00000000
1206.93,272.293,00000000
1206.94,271.409,00000000
1206.95,272.736,00000000
1206.96,274.505,00000000
1206.97,277.160,00000000
1206.98,275.390,00000000
1206.99,273.178,00000000
1207,272.736,00000000
1207.01,273.178,00000000
1207.02,270.967,00000000
1207.03,270.525,00000000
1207.04,270.967,00000000
1207.05,271.409,00000000
1207.06,270.083,00000000
1207.07,269.199,00000000
1207.08,266.547,00000000
1207.09,265.222,00000000
1207.1,265.222,00000000
1207.11,266.105,00000000
1207.12,268.315,00000000
1207.13,269.641,00000000
1207.14,269.199,00000000
1207.15,270.525,00000000
1207.16,270.083,00000000
1207.17,268.757,00000000
1207.18,266.105,00000000
1207.19,266.105,00000000
1207.2,264.338,00000000
1207.21,264.338,00000000
1207.22,262.131,00000000
1207.23,263.455,00000000
1207.24,265.222,00000000
1207.25,266.547,00000000
1207.26,268.315,00000000
1207.27,267.431,00000000
1207.28,271.409,00000000
1207.29,268.315,00000000
1207.3,265.222,00000000
1207.31,265.664,00000000
1207.32,263.455,00000000
1207.33,262.131,00000000
1207.34,261.689,00000000
1207.35,259.924,00000000
1207.36,259.041,00000000
1207.37,261.248,00000000
1207.38,264.338,00000000
1207.39,265.222,00000000
1207.4,266.105,00000000
1207.41,265.664,00000000
1207.42,269.199,00000000
1207.43,269.641,00000000
1207.44,270.525,00000000
1207.45,267.431,00000000
1207.46,267.873,00000000
1207.47,264.780,00000000
1207.48,264.338,00000000
1207.49,264.780,00000000
1207.5,263.897,00000000
1207.51,266.989,00000000
1207.52,265.664,00000000
1207.53,265.222,00000000
1207.54,263.455,00000000
1207.55,262.131,00000000
1207.56,259.041,00000000
1207.57,259.924,00000000
1207.58,260.365,00000000
1207.59,258.600,00000000
1207.6,259.041,00000000
1207.61,258.159,00000000
1207.62,257.717,00000000
1207.63,258.159,00000000
1207.64,256.835,00000000
1207.65,259.924,00000000
1207.66,261.689,00000000
1207.67,260.806,00000000
1207.68,260.806,00000000
1207.69,261.248,00000000
1207.7,259.041,00000000
1207.71,259.041,00000000
1207.72,259.924,00000000
1207.73,260.365,00000000
1207.74,258.159,00000000
1207.75,257.276,00000000
1207.76,255.071,00000000
1207.77,255.953,00000000
1207.78,258.159,00000000
1207.79,256.394,00000000
1207.8,256.394,00000000
1207.81,257.717,00000000
1207.82,258.600,00000000
1207.83,261.248,00000000
1207.84,259.924,00000000
1207.85,258.159,00000000
1207.86,258.159,00000000
1207.87,258.600,00000000
1207.88,258.159,00000000
1207.89,260.806,00000000
1207.9,262.572,00000000
1207.91,262.572,00000000
1207.92,264.780,00000000
1207.93,267.431,00000000
1207.94,266.547,00000000
1207.95,263.455,00000000
1207.96,262.572,00000000
1207.97,261.689,00000000
1207.98,259.482,00000000
1207.99,260.365,00000000
1208,258.600,00000000
1208.01,258.159,00000000
1208.02,256.394,00000000
1208.03,256.394,00000000
1208.04,257.276,00000000
1208.05,255.953,00000000
1208.06,259.041,00000000
1208.07,260.806,00000000
1208.08,260.365,00000000
1208.09,260.806,00000000
1208.1,260.365,00000000
1208.11,263.455,00000000
1208.12,263.455,00000000
1208.13,263.014,00000000
1208.14,262.131,00000000
1208.15,263.455,00000000
1208.16,261.689,00000000
1208.17,261.248,00000000
1208.18,259.041,00000000
1208.19,255.071,00000000
1208.2,253.308,00000000
1208.21,253.308,00000000
1208.22,254.630,00000000
1208.23,254.189,00000000
1208.24,253.748,00000000
1208.25,254.630,00000000
1208.26,254.189,00000000
1208.27,255.071,00000000
1208.28,254.189,00000000
1208.29,252.426,00000000
1208.3,253.748,00000000
